Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
305,6,Sep 30 2017,Sat,Fresno State,41,,Nevada,21,
306,6,Sep 30 2017,Sat,(7) Georgia,41,@,Tennessee,0,
307,6,Sep 30 2017,Sat,Georgia Tech,33,,North Carolina,7,
308,6,Sep 30 2017,Sat,Houston,20,@,Temple,13,
309,6,Sep 30 2017,Sat,Kansas State,33,,Baylor,20,
310,6,Sep 30 2017,Sat,Kentucky,24,,Eastern Michigan,20,
311,6,Sep 30 2017,Sat,Louisiana Tech,34,,South Alabama,16,
312,6,Sep 30 2017,Sat,Louisiana-Monroe,51,,Coastal Carolina,43,
313,6,Sep 30 2017,Sat,(17) Louisville,55,,Murray State,10,
314,6,Sep 30 2017,Sat,Marshall,38,@,Cincinnati,21,
315,6,Sep 30 2017,Sat,Maryland,31,@,Minnesota,24,
316,6,Sep 30 2017,Sat,Michigan State,17,,Iowa,10,
317,6,Sep 30 2017,Sat,Navy,31,@,Tulsa,21,
318,6,Sep 30 2017,Sat,Nevada-Las Vegas,41,,San Jose State,13,
319,6,Sep 30 2017,Sat,New Mexico,56,,Air Force,38,
320,6,Sep 30 2017,Sat,North Carolina State,33,,Syracuse,25,
321,6,Sep 30 2017,Sat,North Texas,43,@,Southern Mississippi,28,
322,6,Sep 30 2017,Sat,(22) Notre Dame,52,,Miami (OH),17,
323,6,Sep 30 2017,Sat,Ohio,58,@,Massachusetts,50,
324,6,Sep 30 2017,Sat,(11) Ohio State,56,@,Rutgers,0,
325,6,Sep 30 2017,Sat,(15) Oklahoma State,41,@,Texas Tech,34,
326,6,Sep 30 2017,Sat,Oregon,45,,California,24,
327,6,Sep 30 2017,Sat,(4) Penn State,45,,Indiana,14,
328,6,Sep 30 2017,Sat,Pittsburgh,42,,Rice,10,
329,6,Sep 30 2017,Sat,(19) San Diego State,34,,Northern Illinois,28,
330,6,Sep 30 2017,Sat,(18) South Florida,61,@,East Carolina,31,
331,6,Sep 30 2017,Sat,Southern Methodist,49,,Connecticut,28,
332,6,Sep 30 2017,Sat,Stanford,34,,Arizona State,24,
333,6,Sep 30 2017,Sat,Texas A&M,24,,South Carolina,17,
334,6,Sep 30 2017,Sat,Troy,24,@,(25) Louisiana State,21,
335,6,Sep 30 2017,Sat,UCLA,27,,Colorado,23,
336,6,Sep 30 2017,Sat,(6) Washington,42,@,Oregon State,7,
337,6,Sep 30 2017,Sat,Western Michigan,55,,Ball State,3,
338,6,Sep 30 2017,Sat,(10) Wisconsin,33,,Northwestern,24,
339,6,Sep 30 2017,Sat,Wyoming,45,,Texas State,10,
341,7,Oct 4 2017,Wed,Arkansas State,43,@,Georgia Southern,25,
342,7,Oct 5 2017,Thu,(24) North Carolina State,39,,(17) Louisville,25,
343,7,Oct 6 2017,Fri,Boise State,24,@,Brigham Young,7,
344,7,Oct 6 2017,Fri,Memphis,70,@,Connecticut,31,
345,7,Oct 7 2017,Sat,Akron,31,,Ball State,3,
346,7,Oct 7 2017,Sat,(1) Alabama,27,@,Texas A&M,19,
347,7,Oct 7 2017,Sat,Alabama-Birmingham,23,,Louisiana Tech,22,
348,7,Oct 7 2017,Sat,Appalachian State,45,,New Mexico State,31,
349,7,Oct 7 2017,Sat,Arizona,45,@,Colorado,42,
350,7,Oct 7 2017,Sat,Army,49,@,Rice,12,
351,7,Oct 7 2017,Sat,(12) Auburn,44,,Mississippi,23,
352,7,Oct 7 2017,Sat,Bowling Green State,37,@,Miami (OH),29,
353,7,Oct 7 2017,Sat,(25) Central Florida,51,@,Cincinnati,23,
354,7,Oct 7 2017,Sat,Central Michigan,26,@,Ohio,23,
355,7,Oct 7 2017,Sat,(2) Clemson,28,,Wake Forest,14,
356,7,Oct 7 2017,Sat,Colorado State,27,@,Utah State,14,
357,7,Oct 7 2017,Sat,Florida Atlantic,58,@,Old Dominion,28,
358,7,Oct 7 2017,Sat,Fresno State,27,@,San Jose State,10,
359,7,Oct 7 2017,Sat,(5) Georgia,45,@,Vanderbilt,14,
360,7,Oct 7 2017,Sat,Georgia State,27,@,Coastal Carolina,21,
361,7,Oct 7 2017,Sat,Houston,35,,Southern Methodist,22,
362,7,Oct 7 2017,Sat,Indiana,27,,Charleston Southern,0,
363,7,Oct 7 2017,Sat,Iowa,45,,Illinois,16,
364,7,Oct 7 2017,Sat,Iowa State,38,@,(3) Oklahoma,31,
365,7,Oct 7 2017,Sat,Kentucky,40,,Missouri,34,
366,7,Oct 7 2017,Sat,Louisiana State,17,@,(21) Florida,16,
367,7,Oct 7 2017,Sat,Louisiana-Lafayette,21,@,Idaho,16,
368,7,Oct 7 2017,Sat,Louisiana-Monroe,45,@,Texas State,27,
369,7,Oct 7 2017,Sat,Marshall,14,@,Charlotte,3,
370,7,Oct 7 2017,Sat,(13) Miami (FL),24,@,Florida State,20,
371,7,Oct 7 2017,Sat,Michigan State,14,@,(7) Michigan,10,
372,7,Oct 7 2017,Sat,Middle Tennessee State,37,,Florida International,17,
373,7,Oct 7 2017,Sat,Navy,48,,Air Force,45,
374,7,Oct 7 2017,Sat,Nevada,35,,Hawaii,21,
