"","V1","V2","V3","V4","V5","V6"
"286","South Carolina","Kentucky","36","6"," A -5 A -2 H 32 A 7 H -37"," A 14 A 3 A -26 H -3 H -34"
"287","Rutgers","Syracuse","-7","6"," A 61 H -50 A 25 A 73 H -42"," A 59 A -8 H 42 H 11 A -32"
"288","Texas A&amp;M","Baylor","6","6"," H 14 H 3 A 12 A 21"," H -16 A 41 H -44 A 16"
"289","Ohio","Toledo","-7","6"," A -31"," A -24"
"290","Utah","South Florida","31","6","",""
"291","West Virginia","Virginia Tech","-35","6"," A 24 H 73 A 11 H -3"," H 14 A -50 H -8 A -35"
"292","Washington","Southern California","3","6"," A -3 H 3 A -2 H 14 A 25"," A -41 A -7 H 31 H -5 H 3"
"293","Washington State","Oregon State","7","6"," H 31 A -27 H 6 A -12"," H 9 H 35 H -31 A 17"
"294","Western Michigan","Akron","17","6"," H 9 A 14"," H -5 A 3"
"295","0","0","0","0","0","0"
"296","Georgia Tech","Maryland","-3","7"," H -3 A -27 H 7 A 1 A -5"," H 17 H 42 H 16 H 20 A -7"
"297","Air Force","Wyoming","11","7"," A -24 A 30 A 19 A 7 H -24"," A 22 H -7 H -1 H -28 H -21"
"298","0","0","0","0","0","0"
"299","Arkansas State","Louisiana-Lafayette","6","7"," A 45 A 48 A 11 H -9"," A 25 H -17 H -3 H 5"
"300","Auburn","Florida","3","7"," A -3 H 2"," H 58 H 52"
"301","Eastern Michigan","Ball State","-21","7"," A 19 A 23 A 5 A 21"," A -5 A 4 H 4 H 4"
"302","Boise State","Tulsa","31","7"," H 25 A 31 A -5 A -7 H 50"," A 16 A 27 H -19 H -21 A 36"
"303","New Mexico","Brigham Young","-4","7"," A 21 A -1 H 19 A -5 H 10 H -7"," H 3 A -7 H 30 A -38 A -4 H 22"
"304","Central Florida","Liberty","63","7","",""
"305","Alabama-Birmingham","Cincinnati","-14","7"," H 52 H 7 A -3 A -22"," A -3 H 13 A -2 A -1"
"306","North Carolina State","Clemson","-8","7"," H -8 A -3 A 10 H 24 A -6 H -4"," H -35 A -7 A -3 H -2 H -14 A 17"
"307","Colorado","Texas A&amp;M","10","7"," A -10 A -3 A -13"," A -7 H 14 H 3"
"308","Army","East Carolina","-23","7"," H -3 A 18 H 7"," A -2 A -7 A -27"
"309","Colorado State","Fresno State","-3","7"," H 17"," A -47"
"310","Vanderbilt","Georgia","-16","7"," H -3 A 32 H -26 A 38"," H -7 H -5 H 14 A -2"
"311","Hawaii","Texas-El Paso","59","7"," H -3 A -7 A -21 H 24 H -7"," A 10 A 26 H 16 H -12 A 25"
"312","Indiana","Illinois","-21","7"," H -13 A -31 A 14 H 6"," A -12 H 7 H 5 A -25"
"313","Missouri","Iowa State","-6","7"," H -33 A -3 A -4 A 14 H 17 A 21"," A 34 H 14 A -42 H -13 H 41 H -39"
"314","Kent State","Northern Illinois","10","7"," H -21 A -13"," H -22 H 4"
"315","Kentucky","Louisiana State","-4","7"," H -34 H -11 A 3 H -3"," H -29 H -11 A -42 A 8"
"316","Nevada","Louisiana Tech","-3","7"," A 3 A 42 A 19 H -47"," H 3 H 6 H 21 A 10"
"317","Buffalo","Marshall","-20","7"," A 35 H -8 A 17 A 22 H 44"," H 6 H 21 A -6 A -21 H 24"
"318","Houston","Memphis","-19","7"," A 14 A 44 A 39 A 24 H -22"," H 32 H 5 H 8 A 17 H -3"
"319","Florida State","Miami (FL)","-22","7","",""
"320","Miami (OH)","Akron","3","7"," H 17 A -12 H 14 A -3 H -6"," A -27 H 2 A 17 H -5 A 17"
"321","Michigan","Purdue","14","7"," H 25 A -6 A 2 H 21"," H -25 H 9 H 10 A -7"
"322","Michigan State","Iowa","3","7"," A 1 A 9 A -14 H 2 H -9 A 10 H -5"," A -43 H 18 A 6 H -6 H 14 A 9 H 6"
"323","Mississippi","Alabama","3","7"," A -11 H -2 A 8"," H -14 H 21 H 7"
"324","Baylor","Nebraska","-41","7"," A 41 A 16 H -44 A 17"," H 34 H 10 H 10 A -33"
"325","Nevada-Las Vegas","San Diego State","28","7"," A 17 H -4 H -2 H -28 A 10"," H -13 H -38 A -7 A 14 H -5"
"326","New Mexico State","Idaho","7","7"," A -31 A 4 H -2 H 11"," H 4 A 12 H -23 A 3"
"327","North Carolina","Virginia","6","7"," A 16 H 32 A -8 A -35 A 7 H -1 H 35"," A 20 H -36 A 24 A -2 H 1 H -4 H 21"
"328","North Texas","Middle Tennessee State","3","7"," A 2 H 45 A -2 H 25 A -23"," A -18 H 48 H 4 A -17 H 12"
"329","Northwestern","Minnesota","6","7"," H 1 A 18 A 5 H -43"," H 9 H -3 H -7 A 18"
"330","Notre Dame","West Virginia","10","7"," A 4"," A 24"
"331","Central Michigan","Ohio","-31","7"," H -24 A -8 A 21"," H -7 A 44 A 24"
"332","Kansas","Oklahoma","-28","7"," A -3 A 34 H -44"," A -17 H 1 A 10"
"333","California","Oregon","-41","7"," A 31 A 39 H -14 H -41 A 7"," A -7 A -1 A -35 H 2 H -7"
"334","Oregon State","Arizona","35","7"," A 7 H 9 A 3 H 25"," H -27 A -14 H -7 A 3"
"335","Navy","Rice","-8","7","",""
"336","South Florida","Connecticut","19","7","",""
"337","Southern California","Arizona State","31","7"," H 11 A 2 H -5 A 3 A -7 H 3"," H 38 A 18 A 23 H -2 H -13 H 17"
"338","San Jose State","Southern Methodist","-7","7"," A -12 H 36 A 24 H 19 A 19"," H 26 A -10 H -7 A 21 H -25"
"339","Pittsburgh","Syracuse","-32","7"," H -22 A -26 H 31 A -42 A -6"," A 59 H 42 A -8 A -7 H 11"
"340","Temple","Rutgers","25","7"," H 19 A 13 A 42 H -26 A 38 H -35 A -3"," H 6 H -31 H -7 H -42 A 61 H -50 A 73"
"341","Oklahoma State","Texas","-28","7"," H -3 H -3 H -19 A -16"," A -19 H 34 H 35 A -39"
"342","Texas Tech","Kansas State","19","7"," H -3 A 10 H 12 H -17"," H 34 A 10 H -7 A 1"
"343","Mississippi State","Troy","-12","7","",""
"344","Tulane","Texas Christian","26","7"," H -27 A 7 A 7 H -45"," H -7 A 21 H 18 H 15"
"345","UCLA","Washington","22","7"," A -31 H 39 A 10 A 6 A 27"," A 25 A -3 H 14 H 12 H 3"
"346","Virginia Tech","Boston College","14","7"," A -50 A -35 A 31 A -35"," A -31 H 24 H 38 H 13"
"347","Duke","Wake Forest","-7","7"," H -42 A 21 H -27 A 42 H -24 A 35"," A 24 A -4 H -5 H -7 H -3 A -1"
"348","Stanford","Washington State","-6","7"," H 23 A -7 H 10 A -14 H 7"," A -12 H -7 H 6 A -27 H 31"
"349","Western Michigan","Bowling Green State","9","7"," H 17 A 14"," A -5 H -3"
"350","Ohio State","Wisconsin","-3","7"," A -13 A 2 H -12"," H -31 A -12 A 7"
"351","0","0","0","0","0","0"
