Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes,,
274,5,Sep 22 2018,Sat,Old Dominion,49,,(13) Virginia Tech,35,,,
275,5,Sep 22 2018,Sat,Purdue,30,,(23) Boston College,13,,,
276,5,Sep 22 2018,Sat,San Diego State,23,,Eastern Michigan,20,,,
277,5,Sep 22 2018,Sat,South Carolina,37,@,Vanderbilt,14,,,
278,5,Sep 22 2018,Sat,South Florida,20,,East Carolina,13,,,
279,5,Sep 22 2018,Sat,Southern Methodist,31,,Navy,30,,,
280,5,Sep 22 2018,Sat,Southern Mississippi,40,,Rice,22,,,
281,5,Sep 22 2018,Sat,(7) Stanford,38,@,(20) Oregon,31,,,
282,5,Sep 22 2018,Sat,Syracuse,51,,Connecticut,21,,,
283,5,Sep 22 2018,Sat,Texas,31,,(17) Texas Christian,16,,,
284,5,Sep 22 2018,Sat,Texas Tech,41,@,(15) Oklahoma State,17,,,
285,5,Sep 22 2018,Sat,Texas-San Antonio,25,,Texas State,21,,,
286,5,Sep 22 2018,Sat,Toledo,63,,Nevada,44,,,
287,5,Sep 22 2018,Sat,Troy,35,@,Louisiana-Monroe,27,,,
288,5,Sep 22 2018,Sat,Utah State,42,,Air Force,32,,,
289,5,Sep 22 2018,Sat,Virginia,27,,Louisville,3,,,
290,5,Sep 22 2018,Sat,(10) Washington,27,,Arizona State,20,,,
291,5,Sep 22 2018,Sat,(12) West Virginia,35,,Kansas State,6,,,
292,5,Sep 22 2018,Sat,Western Kentucky,28,@,Ball State,20,,,
293,5,Sep 22 2018,Sat,Western Michigan,34,@,Georgia State,15,,,
294,5,Sep 22 2018,Sat,(18) Wisconsin,28,@,Iowa,17,,,
295,6,Sep 27 2018,Thu,(16) Miami (FL),47,,North Carolina,10,,,
296,6,Sep 28 2018,Fri,Colorado,38,,UCLA,16,,,
297,6,Sep 28 2018,Fri,Tulane,40,,Memphis,24,,,
298,6,Sep 29 2018,Sat,(1) Alabama,56,,Louisiana,14,,,
299,6,Sep 29 2018,Sat,Alabama-Birmingham,28,,Charlotte,7,,,
300,6,Sep 29 2018,Sat,Appalachian State,52,,South Alabama,7,,,
301,6,Sep 29 2018,Sat,Arizona State,52,,Oregon State,24,,,
302,6,Sep 29 2018,Sat,Army,42,@,Buffalo,13,,,
303,6,Sep 29 2018,Sat,(10) Auburn,24,,Southern Mississippi,13,,,
304,6,Sep 29 2018,Sat,Ball State,52,,Kent State,24,,,
305,6,Sep 29 2018,Sat,Boise State,34,@,Wyoming,14,,,
306,6,Sep 29 2018,Sat,Boston College,45,,Temple,35,,,
307,6,Sep 29 2018,Sat,(13) Central Florida,45,,Pittsburgh,14,,,
308,6,Sep 29 2018,Sat,Cincinnati,49,@,Connecticut,7,,,
309,6,Sep 29 2018,Sat,(3) Clemson,27,,Syracuse,23,,,
310,6,Sep 29 2018,Sat,East Carolina,37,,Old Dominion,35,,,
311,6,Sep 29 2018,Sat,Florida,13,@,(23) Mississippi State,6,,,
312,6,Sep 29 2018,Sat,Florida International,55,,Arkansas-Pine Bluff,9,,,
313,6,Sep 29 2018,Sat,Florida State,28,@,Louisville,24,,,
314,6,Sep 29 2018,Sat,Fresno State,49,,Toledo,27,,,
315,6,Sep 29 2018,Sat,(2) Georgia,38,,Tennessee,12,,,
316,6,Sep 29 2018,Sat,Georgia Southern,28,,Arkansas State,21,,,
317,6,Sep 29 2018,Sat,Georgia State,46,,Louisiana-Monroe,14,,,
318,6,Sep 29 2018,Sat,Georgia Tech,63,,Bowling Green State,17,,,
319,6,Sep 29 2018,Sat,Hawaii,44,@,San Jose State,41,,,
320,6,Sep 29 2018,Sat,Indiana,24,@,Rutgers,17,,,
321,6,Sep 29 2018,Sat,(17) Kentucky,24,,South Carolina,10,,,
322,6,Sep 29 2018,Sat,Liberty,52,@,New Mexico,43,,,
323,6,Sep 29 2018,Sat,(5) Louisiana State,45,,Mississippi,16,,,
324,6,Sep 29 2018,Sat,Louisiana Tech,29,@,North Texas,27,,,
325,6,Sep 29 2018,Sat,Marshall,20,@,Western Kentucky,17,,,
326,6,Sep 29 2018,Sat,(14) Michigan,20,@,Northwestern,17,,,
327,6,Sep 29 2018,Sat,(21) Michigan State,31,,Central Michigan,20,,,
328,6,Sep 29 2018,Sat,Middle Tennessee State,25,,Florida Atlantic,24,,,
329,6,Sep 29 2018,Sat,Nevada,28,@,Air Force,25,,,
330,6,Sep 29 2018,Sat,North Carolina State,35,,Virginia,21,,,
331,6,Sep 29 2018,Sat,Northern Illinois,26,@,Eastern Michigan,23,,,
332,6,Sep 29 2018,Sat,(8) Notre Dame,38,,(7) Stanford,17,,,
333,6,Sep 29 2018,Sat,Ohio,58,,Massachusetts,42,,,
334,6,Sep 29 2018,Sat,(4) Ohio State,27,@,(9) Penn State,26,,,
335,6,Sep 29 2018,Sat,(6) Oklahoma,66,,Baylor,33,,,
336,6,Sep 29 2018,Sat,Oklahoma State,48,@,Kansas,28,,,
337,6,Sep 29 2018,Sat,(19) Oregon,42,@,(24) California,24,,,
338,6,Sep 29 2018,Sat,Purdue,42,@,Nebraska,28,,,
339,6,Sep 29 2018,Sat,Southern California,24,@,Arizona,20,,,
340,6,Sep 29 2018,Sat,Southern Methodist,63,,Houston Baptist,27,,,
341,6,Sep 29 2018,Sat,(18) Texas,19,@,Kansas State,14,,,
342,6,Sep 29 2018,Sat,Texas A&M,24,,Arkansas,17,X,,
343,6,Sep 29 2018,Sat,Texas Christian,17,,Iowa State,14,,,
344,6,Sep 29 2018,Sat,Texas-San Antonio,30,,Texas-El Paso,21,,,
345,6,Sep 29 2018,Sat,Troy,45,,Coastal Carolina,21,,,
346,6,Sep 29 2018,Sat,Vanderbilt,31,,Tennessee State,27,,,
347,6,Sep 29 2018,Sat,Virginia Tech,31,@,(22) Duke,14,,,
348,6,Sep 29 2018,Sat,Wake Forest,56,,Rice,24,,,
349,6,Sep 29 2018,Sat,(11) Washington,35,,(20) Brigham Young,7,,,
350,6,Sep 29 2018,Sat,Washington State,28,,Utah,24,,,
351,6,Sep 29 2018,Sat,(12) West Virginia,42,@,(25) Texas Tech,34,,,
352,6,Sep 29 2018,Sat,Western Michigan,40,@,Miami (OH),39,,,
353,7,Oct 4 2018,Thu,Houston,41,,Tulsa,26,,,
354,7,Oct 4 2018,Thu,Troy,37,,Georgia State,20,,,
355,7,Oct 5 2018,Fri,Georgia Tech,66,@,Louisville,31,,,
